solver,budget_s,segment_bucket,rows,ok,mean_segments,mean_runtime_s,mean_energy,mean_gap_to_best,wins_or_ties
aco,1,0050+,24,24,79.83333333333333,4.344386189424161,50.412734764266816,5.584738230292335,1
beam_search,1,0050+,24,24,79.83333333333333,4.29398708359319,53.26400850994264,8.436011975968162,0
local,1,0050+,24,24,79.83333333333333,6.148393872601446,3063.3840000437367,3018.556003509762,0
mqlib,1,0050+,24,24,79.83333333333333,8.447171196045625,296.7075048505388,251.8795083165643,0
neural_aco,1,0050+,24,24,79.83333333333333,12.145924439823526,44.832230103522,0.004233569547523075,23
aco,3,0050+,24,24,79.83333333333333,6.139159148214579,49.866705236639895,5.128336671135306,2
beam_search,3,0050+,24,24,79.83333333333333,6.115793020576045,50.28194981305713,5.543581247552538,0
local,3,0050+,24,24,79.83333333333333,7.541511600861365,2690.3558979483814,2645.617529382877,0
mqlib,3,0050+,24,24,79.83333333333333,9.963351932359123,244.12401729739304,199.38564873188844,0
neural_aco,3,0050+,24,24,79.83333333333333,12.284331909070412,44.832230103522,0.09386153801741177,22
aco,5,0050+,24,24,79.83333333333333,7.942696488326571,48.97448656476187,4.1968319892586505,1
beam_search,5,0050+,24,24,79.83333333333333,7.988070914196821,47.92179440764198,3.1441398321387624,0
local,5,0050+,24,24,79.83333333333333,12.01396994041473,2110.822198053492,2066.0445434779886,0
mqlib,5,0050+,24,24,79.83333333333333,12.035810254344446,223.4117457414512,178.63409116594798,0
neural_aco,5,0050+,24,24,79.83333333333333,13.062643897962213,44.832230103522,0.05457552801878288,23
aco,10,0050+,24,24,79.83333333333333,12.878174681963477,49.364918905966,5.0154204622854195,0
beam_search,10,0050+,24,24,79.83333333333333,12.872485133363321,46.28941975092099,1.939921307240411,5
local,10,0050+,24,24,79.83333333333333,17.372282749478472,1802.174640178015,1757.8251417343345,0
mqlib,10,0050+,24,24,79.83333333333333,16.935925258148927,179.98193452492205,135.63243608124148,0
neural_aco,10,0050+,24,24,79.83333333333333,13.246042214203044,44.358264993756315,0.008766550075733903,19
